Authors;Scores
Wiktorski E.;0.32
Antonov S.V.;0.32
Cuperman D.;0.32
Cross E.J.;0.32
Hollocombe J.;0.31
Hsu Y.;0.31
Kühn L.;0.31
Hu C.;0.31
Kyprianidis K.G.;0.31
Rogers T.;0.31
Dong C.;0.31
Vestermark J.;0.31
Sallati C.;0.31
Palau A.S.;0.31
Manservigi L.;0.31
Hardjawana W.;0.31
Hadi Mosleh M.;0.31
Shiraishi S.;0.31
Kapusuzoglu B.;0.31
Borovkov A.;0.31
Seefried J.;0.31
Lee J.Y.;0.30
Akintseva A.V.;0.30
Rippel D.;0.30
Todd M.D.;0.30
Lundholm T.;0.30
Malozemov G.A.;0.30
de Infante Á.R.;0.29
Nordgren E.;0.29
Silva J.R.;0.29
Abaev G.;0.29
El-Mounayri H.;0.29
Elena L.;0.29
Hassall M.;0.29
Zabińska I.;0.29
Luo W.;0.29
Maystrishin M.;0.29
Bengtsson K.;0.29
Shirowzhan S.;0.29
Liu L.;0.29
Baldassarre A.;0.29
Boikov A.V.;0.29
Havard V.;0.29
Berri P.C.;0.29
Wassar T.;0.29
Vichare P.;0.29
Boje C.;0.29
Uzun M.;0.29
Utzig S.;0.29
Belko V.O.;0.29
Rødseth H.;0.29
Bayer V.;0.29
Shim C.-S.;0.29
Maksimov N.V.;0.29
Hirman M.;0.29
Mao X.;0.29
Zakharov A.;0.29
Juang C.-F.;0.29
Isaksson O.;0.29
Matt D.T.;0.29
Koester F.;0.29
Lin H.;0.29
Bukhari K.;0.29
de la Cruz M.;0.29
Klusmann N.;0.28
Lindemann B.;0.28
Chen Y.;0.28
Bartelt M.;0.28
Guo D.;0.28
Panato M.;0.28
Sporleder L.;0.28
Lindner S.;0.28
Fukuda T.;0.28
Nejad A.R.;0.28
Duarte Y.S.;0.28
Narayanan Aayer T.;0.28
McDowell D.L.;0.28
Gunnarsson M.;0.28
Villa A.;0.28
Ji W.;0.28
Gualeni P.;0.28
Davidson S.;0.28
Moorhouse A.T.;0.28
Sacks R.;0.28
Zabaryłło M.;0.28
Tomaszewski M.;0.28
Avery W.B.;0.28
Liao M.;0.28
Renaud G.;0.28
Chen L.;0.27
Li W.;0.27
Liu X.F.;0.27
Hu B.;0.27
Cipollini F.;0.27
Spanos C.;0.27
Shepelev V.;0.27
Sorlini M.;0.27
Han Y.-S.;0.27
Ostroukh A.V.;0.27
Hazbon Alvarez O.;0.27
Dickopf T.;0.27
Botz M.;0.27
Bradac Z.;0.27
García S.N.M.;0.27
Okita T.;0.27
Monteiro J.;0.27
Michalos G.;0.27
Berger M.;0.26
Klintworth J.;0.26
Ren L.;0.26
Coello Machado N.I.;0.26
Hagege M.;0.26
Saito M.;0.26
Mandreoli F.;0.26
Donaubauer A.;0.26
Ramos J.M.;0.26
Maier F.;0.26
Zhu Y.;0.26
Torben Grummel J.;0.26
Pi S.;0.26
Venkatapathy A.K.R.;0.26
Mahanty B.;0.26
Ng A.;0.26
Hovland S.;0.26
González-Badillo G.;0.26
Hischier I.;0.26
Kallaste A.;0.26
Engdahl G.;0.26
Crestani L.R.S.;0.26
Cao K.-S.;0.26
Kennel M.;0.26
Kovalev V.I.;0.26
Yi Y.;0.25
Jbair M.;0.25
Hose D.R.;0.25
Bein M.C.;0.25
Schmidt T.;0.25
Ellgass W.;0.25
Eyre J.M.;0.25
Burghardt A.;0.25
Sun B.;0.25
Campean F.;0.25
Lins S.;0.25
Lorin S.;0.25
Cavadini F.A.;0.25
Aung M.H.;0.25
Apostolov H.;0.25
Tilbury D.;0.25
Zhao P.;0.25
Pizzolato C.;0.25
Sadjina S.;0.25
Alberti A.M.;0.25
Castano F.;0.24
Tahmasebinia F.;0.24
Murphy A.;0.24
Zörrer H.;0.24
Steringer R.;0.24
Loksik M.;0.24
Savarit A.;0.24
Jing J.;0.24
Ghinea M.;0.24
Moser B.;0.24
Aghezzaf E.H.;0.24
Heibeck M.;0.24
San-Martin D.;0.24
Ulu E.;0.24
Gliozzo J.;0.24
Jaribion A.;0.24
Feng B.;0.24
Wan J.;0.24
Wu M.;0.24
Dittrich M.-A.;0.24
Ströer F.;0.24
Roy R.B.;0.24
Mohan S.;0.23
Thoben K.-D.;0.23
Kurfess T.;0.23
Tilbury D.M.;0.23
Shi R.;0.23
Ozturk E.;0.23
Yang M.;0.23
Kuhnle A.;0.23
Karpov M.;0.23
Lou P.;0.23
Huuska P.;0.23
Eguia P.;0.23
Holycross C.;0.23
Song B.;0.22
Vijayalakshmi N.;0.22
Sung W.J.;0.22
Schwan T.;0.22
Nithiarasu P.;0.22
Schuderer P.;0.22
Abramovici M.;0.22
Aleksandrov I.A.;0.22
Sartor M.;0.22
Gu H.;0.22
Choi D.-H.;0.22
Varga P.;0.22
Basson A.H.;0.22
Pezzini P.;0.22
Zhou M.;0.22
Umer R.;0.22
Mathar M.;0.22
Lee T.-L.;0.22
Cannistraro M.;0.22
Wilke D.N.;0.22
Bettoni A.;0.22
Glanzer M.;0.22
Liu G.;0.22
Soghomonian Z.;0.22
Akintseva A.;0.22
Nguyen D.T.;0.22
Fischer J.;0.22
